"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPATA24",316.003836944135,-3.79937117080578,0.380820663196753,-9.97679889245615,1.92579624547757e-23,6.4766453531656e-19
"REPIN1-AS1",173.37963485247,-2.03682581073638,0.215017299772971,-9.47284619836166,2.72320454952624e-21,4.57920461025585e-17
"CISH",763.969077666924,-2.87757507648583,0.305784593497091,-9.41046454818597,4.93948916619679e-21,5.53733200494547e-17
"PROB1",112.75481587114,-2.38026477887461,0.255436072420822,-9.3184363364044,1.1806741599366e-20,9.92681316820691e-17
"LOC124904177",50.4187552913473,-3.83655760916727,0.427497966694865,-8.97444644901829,2.84780128562923e-19,1.91548810073993e-15
"FOXJ1",52.5578325466437,-5.47441617753024,0.616223298641411,-8.88381888448505,6.46034374331899e-19,3.62113034052602e-15
"TTC39A-AS1",47.2971589910292,-4.58612919722029,0.521644365074629,-8.79167782549358,1.4734278212168e-18,7.07897872219176e-15
"HORMAD1",73.7697704456097,6.56345939006666,0.769192650090972,8.53292005493084,1.42699301065377e-17,5.99890024266213e-14
"KCNK15-AS1",95.0242416218603,-4.49597135878988,0.527773683567789,-8.51874865832033,1.6128643874721e-17,6.02691580167492e-14
"LOC112694756",124.295127275199,-2.54367566598418,0.30071477703051,-8.45876511657458,2.70223695148072e-17,9.08789309152482e-14
"RIMS4",203.597545118468,-4.55437263324408,0.555918436688141,-8.19251950048023,2.55813764595544e-16,7.82115701555703e-13
"ADGRB2",1518.74727382671,-3.11091849030264,0.387643370967788,-8.02520750589889,1.01354472395543e-15,2.84054355094541e-12
"KCNK15",308.383984518292,-4.35803603681749,0.544260126382056,-8.0072667931552,1.17285868376763e-15,3.03418541490687e-12
"NKAIN1",334.483699193864,-5.26316271318174,0.677947399192021,-7.76337916400946,8.26959102215859e-15,1.9865329690444e-11
"SPEF1",58.144550615941,-2.75725493516877,0.357921499853817,-7.7035186103514,1.32369817899686e-14,2.96781956385623e-11
"LOC107986925",93.092600075913,-5.11301329553494,0.671402932056582,-7.61541698942721,2.62841520198706e-14,5.52476447862668e-11
"ROPN1",35.2274436087653,7.58674404705097,1.00912482673823,7.51814230115957,5.55600125737553e-14,1.09914046051057e-10
"LOC105374339",3885.40733271038,-5.22890012788794,0.698733040681089,-7.48340184799487,7.2422997249704e-14,1.35314323361378e-10
"KATNIP",733.884508775881,-1.23469527804374,0.166270349870547,-7.42582955412696,1.12075246664002e-13,1.88460131027853e-10
"LOC124907768",174.054480946497,2.16643455696863,0.291489588534496,7.43228795189798,1.06735126107965e-13,1.88460131027853e-10
"DSCAM-AS1",125.34294940307,-7.4206490203745,1.00181573002965,-7.40719954572372,1.28994296904264e-13,1.97191236326695e-10
"CYP2B7P",432.149662656076,-5.67771789720958,0.766219589467986,-7.41004011807089,1.26261215926514e-13,1.97191236326695e-10
"EPHA8",90.4121532394707,-4.82056714227048,0.655238518433066,-7.35696545099082,1.8813801695263e-13,2.75098680353648e-10
"LINC02487",90.7401072218424,6.764248889734,0.928443304679784,7.2855809887788,3.20286994734239e-13,4.488154966628e-10
"LOC101929427",17.5720053298793,7.74264818224189,1.07006360459846,7.23568968140668,4.6316928897058e-13,6.23073854294783e-10
"CACNA2D2",356.65271743327,-2.49511578127441,0.348272909117116,-7.1642545715072,7.82109484659817e-13,1.01165861840747e-09
"DNAAF3-AS1",107.418198118263,-3.6578631393673,0.519431801063671,-7.04204696723782,1.89435945435093e-12,2.35960010404726e-09
"TRNH",17.077743815943,4.49097376285897,0.640543383502482,7.01119374350945,2.36293250814796e-12,2.83813511362586e-09
"LOC124903692",105.987550627729,-2.84020542807475,0.411248089832241,-6.90630667545069,4.97434030434878e-12,5.39651737985657e-09
"IGF2BP3",17.0710512662501,4.56677077167443,0.66053648860845,6.91372974912444,4.72074125926271e-12,5.39651737985657e-09
"LOC105378075",64.4907958606378,3.45593635794397,0.500252043718782,6.90839028313243,4.90183878200494e-12,5.39651737985657e-09
"TRNL2",32.6425277769499,3.74360300495847,0.542757614672688,6.89737537301262,5.29720787166108e-12,5.475189511875e-09
"FOXCUT",87.3952744723728,6.34608210595175,0.920339545766075,6.89537044794634,5.3724615352465e-12,5.475189511875e-09
"C1QL4",203.019251835327,6.34900970584315,0.923530001685227,6.87471949396088,6.21119549243635e-12,5.96824901731791e-09
"ANXA9",440.770698038514,-2.42662158709038,0.352838311449357,-6.87743226386761,6.0940982845342e-12,5.96824901731791e-09
"SLC7A8",2200.50475417739,-3.04421475858101,0.443408119569666,-6.86549168638468,6.62626240721022e-12,6.02291435180775e-09
"LOC124901908",30.9704114157423,-5.34824523153081,0.778560684022253,-6.86940060201903,6.44722211360321e-12,6.02291435180775e-09
"GREB1",1895.94470261571,-4.06545274072802,0.592559438835446,-6.8608353428946,6.84590357939438e-12,6.05880482312138e-09
"FOXC1",1188.38037425493,3.56745003721847,0.521115105455549,6.84580047646071,7.60494126169181e-12,6.55799434799891e-09
"WNT6",160.108282433726,4.86719171961352,0.713935055391181,6.81741522966213,9.26930648856398e-12,7.60972094189949e-09
"CHRM3",201.577517723515,4.2259182132566,0.619882031183958,6.81729426030499,9.2771121470631e-12,7.60972094189949e-09
"SEC14L4",30.6748629015539,5.7728415545005,0.849987200866554,6.79168056720753,1.10834745377432e-11,8.87496028997242e-09
"KIRREL3-AS1",284.83171025592,6.53836853184,0.963759242521281,6.7842343226043,1.16703781414691e-11,8.98676188040199e-09
"LOC124901465",31.6767411839904,6.31939241657728,0.932075606901432,6.77991395739376,1.20247475429838e-11,8.98676188040199e-09
"ART3",31.3956465620162,5.84834288740124,0.862480873580484,6.78083777454978,1.1948098140447e-11,8.98676188040199e-09
"ZMYND10",199.220023560925,-3.38904675062693,0.501202882756622,-6.76182613313621,1.3626317159636e-11,9.88225586357194e-09
"MAP2",284.05500963253,2.8263223365313,0.4181024705806,6.75987954007187,1.38106516484161e-11,9.88225586357194e-09
"CELSR2",2435.71257615327,-2.33218222819688,0.346919053543024,-6.7225544529155,1.78565971097675e-11,1.25111503624707e-08
"LINC00707",62.7495144705607,6.87393706902779,1.02354228012078,6.71583109221111,1.86997305940077e-11,1.28345028491239e-08
"CDH19",91.2221420303638,7.25579112217715,1.08250754651656,6.70276262324988,2.04515552208911e-11,1.37561250726758e-08
"LOC112268093",103.347497930124,3.92555921861405,0.592479527514656,6.62564533677822,3.45734372888156e-11,2.27988092051011e-08
"SNORD74",15.1972346297217,-2.48564812746939,0.375318532382497,-6.62276949579509,3.52530531579253e-11,2.27999121298882e-08
"TRIM2",438.703245108964,1.93973350244768,0.293467400312238,6.60970690572064,3.85081663042635e-11,2.44352479429941e-08
"CCDC88A",1390.25757140348,1.9614959865412,0.297109166013249,6.6019369676859,4.0582006787714e-11,2.52743235236594e-08
"CAPN6",350.549771689923,5.5801101924473,0.850025371378794,6.56463957469412,5.21588683705842e-11,3.18937254940203e-08
"ASTN2",264.653835772864,-2.13455737338691,0.325369353410249,-6.56041311516978,5.36589123550893e-11,3.22250514538216e-08
"SOX9-AS1",78.7742670206831,3.51893361923811,0.537016220035558,6.55275108637333,5.64866290761236e-11,3.33281021484055e-08
"GATA3",9560.25654468742,-3.8279495499622,0.586784314309224,-6.52360578940926,6.86369612607559e-11,3.97987869682842e-08
"DNAAF3",202.459349062326,-3.40071774605981,0.523725385702286,-6.49332233819379,8.39637704095224e-11,4.70630927107108e-08
"LOC105370256",77.1207521973046,5.77335987414419,0.888813999832772,6.49557711200592,8.2715705531616e-11,4.70630927107108e-08
"SLC19A2",364.21772347683,-1.89732420128488,0.292410165046407,-6.48857128815533,8.66541533980665e-11,4.77748497201701e-08
"DLX5",76.2937359635335,5.21335389257213,0.803958791089428,6.48460337812542,8.89655070061093e-11,4.82580478406849e-08
"PWWP3B",45.4007030776734,-4.27153051272591,0.66354858082908,-6.43740433803473,1.21533870079533e-10,6.48778664229329e-08
"SOX6",127.070116525013,4.00349831695748,0.623394736035119,6.42209195159443,1.34414183286139e-10,7.06325530952523e-08
"LINC01117",31.517499981993,-3.46701957250335,0.54047613448252,-6.41475053440216,1.41053645882229e-10,7.29811563794652e-08
"PPP1R26",863.263594570416,-1.53390229616439,0.239272319995765,-6.41069680016285,1.44856029091705e-10,7.38129259755021e-08
"LINC01488",105.328830476245,-5.72712519420647,0.893694060157821,-6.40837334556649,1.4708038791174e-10,7.38277690426824e-08
"LEMD1",29.5350597942555,7.90771607594282,1.23640578684573,6.39572878101509,1.59783403155332e-10,7.90246416399553e-08
"TTC39A",890.069933822198,-3.14335660323979,0.492311032248988,-6.38489978353771,1.71509751377492e-10,8.3594847080818e-08
"CRYBB2P1",118.499967122852,1.17184998982365,0.18372830687415,6.37816790325261,1.79218970398556e-10,8.61044741924834e-08
"RARA",2781.4442115505,-1.68551580558819,0.26437276103591,-6.37552748998693,1.8233427888017e-10,8.63673821551972e-08
"ELOVL2",191.750494285817,-4.19804298951669,0.660301885814647,-6.35776313789769,2.04712802486855e-10,9.56207813949365e-08
"MAML2",723.530274359925,2.33063974280152,0.366738782953878,6.35504029333769,2.08371994638259e-10,9.59966924887574e-08
"BHLHE40",5364.22095819504,-2.01142952625473,0.316902272392983,-6.3471603124398,2.19325551230078e-10,9.96775353164695e-08
"CELSR1",3910.10934274088,-2.72321580400641,0.429562542497628,-6.33950946507737,2.3049785496766e-10,1.03358311472232e-07
"LOC105369626",12.6248861907326,-3.55012618484101,0.56077022597377,-6.33080363472626,2.43887568514183e-10,1.0792345811448e-07
"LOC105369143",17.8129167286036,-4.24479516705044,0.6709624551611,-6.32642726042138,2.50902489878274e-10,1.09585735546705e-07
"FDCSP",744.703948255156,8.5641294580263,1.35729542642399,6.30970184625897,2.7957353049497e-10,1.20542787231748e-07
"SEMA3B-AS1",39.0905053116641,-2.57880192133451,0.408868908211629,-6.30716072937424,2.84200656623365e-10,1.20986737758233e-07
"CNGA1",58.0093276697562,3.16574417465876,0.502332062511979,6.30209459222655,2.93649851827892e-10,1.23446727085298e-07
"GDF15",307.622323777046,-3.74899920371784,0.595353860428265,-6.29709396865423,3.03277445928248e-10,1.25920046716209e-07
"REPIN1",3104.33353203746,-1.15650288072056,0.184361976942851,-6.2730010813404,3.54154446323765e-10,1.45250831516031e-07
"MINDY1",638.060321044824,-1.737143641819,0.277015286366662,-6.27093062120654,3.58896519323033e-10,1.45422275197023e-07
"ACAN",379.326571272036,4.48364468117868,0.715779269395439,6.26400466300966,3.75214246659269e-10,1.47784120694498e-07
"KIRREL3",162.159374807808,4.05128490972898,0.646704002733728,6.26451188272147,3.73995042854077e-10,1.47784120694498e-07
"SFXN2",335.187753691601,-2.12011349688306,0.33852002038128,-6.26288954637054,3.7790831018188e-10,1.47784120694498e-07
"EEF1A2",2611.83941007257,-4.96131032578035,0.794575567198522,-6.24397543870209,4.26587008089523e-10,1.6490284677079e-07
"BHLHE40-AS1",264.638104694069,-2.0747007534167,0.332724336087442,-6.23549445710353,4.50353299667264e-10,1.72111725239884e-07
"KLF5",352.855282097543,2.51869676110569,0.404565771823089,6.22567932466389,4.79473878755231e-10,1.81181865353002e-07
"MYBPH",184.977039362661,5.44357463510436,0.876983860852878,6.20715486121992,5.39524273656024e-10,2.01608231636953e-07
"FUT8",368.867865377534,-1.52804802686825,0.246452357119483,-6.20017615058732,5.6400000019662e-10,2.08438285786951e-07
"ADAMTSL5",211.222802367441,-2.6302319918004,0.424824389851188,-6.19133942079395,5.96550923455516e-10,2.15726925878844e-07
"EEF1DP5",20.9954226634318,4.98092448483814,0.804394371584442,6.19214238785267,5.93518972822702e-10,2.15726925878844e-07
"RAPGEFL1",707.077629429016,-2.18025802891239,0.35332204056562,-6.17073881216721,6.7971625841118e-10,2.43186569006664e-07
"LOC124904701",53.8716585384702,3.61276590045478,0.586430618620513,6.16060244083648,7.24687170594522e-10,2.53874523273587e-07
"LOC124902227",12.1820174740054,4.42515472424165,0.71818290515371,6.16159851826959,7.20142450354861e-10,2.53874523273587e-07
