"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035082","GO:0035082","axoneme assembly","18/701","107/18860",0.168224299065421,4.52597757542629,7.18635112308949,7.73852947961991e-08,0.000335465252941523,0.000317361166869465,"FOXJ1/SPEF1/ZMYND10/DNAAF3/RP1/CFAP157/STK36/PIERCE1/LRRC46/RSPH1/DNAH5/DNAAF8/CFAP46/ODAD1/DNAH7/SPAG6/SPAG17/CFAP57",18
"GO:0001578","GO:0001578","microtubule bundle formation","19/701","138/18860",0.13768115942029,3.70423204945316,6.26440392840832,8.6343595364823e-07,0.00187149742953254,0.00177049814495448,"FOXJ1/SPEF1/ZMYND10/DNAAF3/RP1/CFAP157/STK36/MTCL1/PIERCE1/LRRC46/RSPH1/DNAH5/DNAAF8/CFAP46/ODAD1/DNAH7/SPAG6/SPAG17/CFAP57",19
"GO:0060271","GO:0060271","cilium assembly","36/701","408/18860",0.0882352941176471,2.37391961064026,5.51241690593183,1.57278474856845e-06,0.00227267396168141,0.00215002434400795,"FOXJ1/SPEF1/ZMYND10/CELSR2/DNAAF3/CFAP61/RP1/CFAP157/KCNF1/STK36/WDR90/DNALI1/PIERCE1/TTC8/ARMC9/LRRC46/ARL3/RSPH1/LAMA5/DNAH5/DNAAF8/TEKT4/CFAP119/UBXN10/EVI5L/CFAP46/NME5/MACIR/ODAD1/DNAH7/SPAG6/SPAG17/CFAP57/RAB17/MCIDAS/TTC39C",36
"GO:0003341","GO:0003341","cilium movement","27/701","269/18860",0.100371747211896,2.70044386935286,5.51898787820839,2.98036773615708e-06,0.0027533425295404,0.00260475262431601,"SPEF1/KATNIP/ZMYND10/CELSR2/DNAAF3/CFAP61/CFAP157/ROPN1L/STK36/DNALI1/PIERCE1/LRRC46/ATP1A4/DNAH5/TEKT4/CFAP119/RIBC1/CFAP46/NME5/CFAP141/ODAD1/DNAH7/SPAG6/CAMSAP3/SPAG17/CFAP57/TTLL9",27
"GO:0044782","GO:0044782","cilium organization","37/701","441/18860",0.0839002267573696,2.25728712788016,5.24919993740616,3.68797120001434e-06,0.0027533425295404,0.00260475262431601,"FOXJ1/SPEF1/ZMYND10/CELSR2/DNAAF3/CFAP61/RP1/CFAP157/KCNF1/STK36/WDR90/DNALI1/PIERCE1/TTC8/ARMC9/LRRC46/ARL3/NECTIN2/RSPH1/LAMA5/DNAH5/DNAAF8/TEKT4/CFAP119/UBXN10/EVI5L/CFAP46/NME5/MACIR/ODAD1/DNAH7/SPAG6/SPAG17/CFAP57/RAB17/MCIDAS/TTC39C",37
"GO:0000038","GO:0000038","very long-chain fatty acid metabolic process","9/701","35/18860",0.257142857142857,6.91828000815162,6.88548304955071,3.81085471216665e-06,0.0027533425295404,0.00260475262431601,"ELOVL2/ACOT4/SLC27A2/ACOT1/ABCD3/ACOT2/ELOVL5/ACOX2/HACD3",9
"GO:0009063","GO:0009063","amino acid catabolic process","15/701","111/18860",0.135135135135135,3.63573273701662,5.47200115682935,1.5233354024527e-05,0.00830394348801977,0.00785580375871426,"SLC25A21/GLUL/ABAT/MCCC2/CSAD/HYKK/SARDH/ALDH6A1/ALDH4A1/PRODH/GLS2/IVD/FAH/BCAT2/ACADSB",15
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","14/701","98/18860",0.142857142857143,3.84348889341757,5.54494679312953,1.53244631843502e-05,0.00830394348801977,0.00785580375871426,"SLC25A21/GLUL/MCCC2/CSAD/HYKK/SARDH/ALDH6A1/ALDH4A1/PRODH/GLS2/IVD/FAH/BCAT2/ACADSB",14
"GO:0002065","GO:0002065","columnar/cuboidal epithelial cell differentiation","15/701","113/18860",0.132743362831858,3.57138348503402,5.38657309146732,1.89359530698061e-05,0.00912081739528995,0.00862859335204265,"FOXJ1/RARA/PGR/GATA5/INSM1/FOXA1/TTC8/IL6ST/DLG5/TP73/PYY/GATA4/SPDEF/CCDC78/MCIDAS",15
"GO:0001655","GO:0001655","urogenital system development","11/701","68/18860",0.161764705882353,4.35218595284048,5.44087102632725,3.84419295383676e-05,0.0166645764548824,0.0157652376296295,"RARA/FOXA1/PRLR/ALOX15B/PAX2/PBX1/ESR1/FKBP4/CRIP1/AMH/AR",11
