"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002237","GO:0002237","response to molecule of bacterial origin","57/1188","375/18860",0.152,2.41306397306397,7.16625783302188,5.15525440283842e-10,2.75909215639912e-06,2.38009955903677e-06,"CLDN1/PTGFR/OPRK1/BPI/S100A8/PRKCA/LYN/EPO/LCN2/IL12A/PDCD1LG2/SLPI/CASP1/DEFB124/GSTP1/PLCG2/IRF8/HPGD/SIRPA/P2RX7/EDN1/MIR142/RPS6KA3/TLR1/SPI1/IL12RB2/LY96/MEF2C/MIR140/CD80/CEBPB/CD86/MRC1/CCL2/CXCL2/CD40/VCAM1/SPON2/GNRH1/SOD2/TSPO/IL18/S100A7/CNR2/LY86/TBXA2R/SLC11A1/BTK/IL23R/CEBPE/IDO1/MAPK14/NOS1/TLR2/C5AR1/IL36RN/NLRP3",57
"GO:0032496","GO:0032496","response to lipopolysaccharide","53/1188","350/18860",0.151428571428571,2.4039923039923,6.87416954104818,2.39726203757652e-09,6.41507321255477e-06,5.53389015621611e-06,"CLDN1/PTGFR/OPRK1/BPI/S100A8/PRKCA/LYN/EPO/LCN2/IL12A/PDCD1LG2/SLPI/CASP1/GSTP1/PLCG2/IRF8/HPGD/SIRPA/P2RX7/EDN1/MIR142/RPS6KA3/SPI1/IL12RB2/LY96/MEF2C/MIR140/CD80/CEBPB/CD86/MRC1/CCL2/CD40/VCAM1/SPON2/GNRH1/SOD2/TSPO/IL18/S100A7/CNR2/LY86/TBXA2R/SLC11A1/BTK/IL23R/CEBPE/IDO1/MAPK14/NOS1/TLR2/IL36RN/NLRP3",53
"GO:0070664","GO:0070664","negative regulation of leukocyte proliferation","25/1188","105/18860",0.238095238095238,3.77986211319545,7.40600616104886,5.56121770240754e-09,9.92121238109504e-06,8.55842134833665e-06,"GAL/TMEM131L/LYN/CDKN2A/PDCD1LG2/GSTP1/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/CCL8/IL20RB/GNRH1/CR1/TNFRSF21/CRP/BTK/PLA2G2D/CTLA4/RIPOR2/IDO1",25
"GO:0032945","GO:0032945","negative regulation of mononuclear cell proliferation","23/1188","97/18860",0.237113402061856,3.76427505293485,7.07686125801676,2.4491149104601e-08,3.27691575019562e-05,2.82679420981e-05,"GAL/TMEM131L/LYN/CDKN2A/PDCD1LG2/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/IL20RB/GNRH1/CR1/TNFRSF21/CRP/BTK/PLA2G2D/CTLA4/RIPOR2/IDO1",23
"GO:0050672","GO:0050672","negative regulation of lymphocyte proliferation","22/1188","95/18860",0.231578947368421,3.67641325536062,6.78055728688661,7.73801271597581e-08,8.28276881118051e-05,7.14503658363577e-05,"GAL/TMEM131L/LYN/CDKN2A/PDCD1LG2/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/IL20RB/GNRH1/CR1/TNFRSF21/BTK/PLA2G2D/CTLA4/RIPOR2/IDO1",22
"GO:0042130","GO:0042130","negative regulation of T cell proliferation","19/1188","79/18860",0.240506329113924,3.81813919788603,6.50790686497393,3.13826318315235e-07,0.00027993307593719,0.000241481093356249,"TMEM131L/CDKN2A/PDCD1LG2/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/IL20RB/GNRH1/CR1/TNFRSF21/PLA2G2D/CTLA4/RIPOR2/IDO1",19
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","30/1188","183/18860",0.163934426229508,2.60252801236408,5.64809918152868,1.31165797839243e-06,0.000846485950774106,0.000730211505801123,"GAL/TMEM131L/LYN/PAG1/CDKN2A/PDCD1LG2/HLX/RUNX3/CLEC4G/CLNK/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/SFRP1/IL20RB/GNRH1/SOCS1/CR1/TNFRSF21/JAK3/BTK/PLA2G2D/CTLA4/RIPOR2/IDO1/TNFAIP8L2",30
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","33/1188","212/18860",0.155660377358491,2.47117400419287,5.58522330660488,1.31190726157461e-06,0.000846485950774106,0.000730211505801123,"GAL/TMEM131L/BPI/TAFA3/LYN/PAG1/CDKN2A/PDCD1LG2/HLX/RUNX3/CLEC4G/CLNK/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/SFRP1/IL20RB/GNRH1/SOCS1/CR1/TNFRSF21/JAK3/CNR2/BTK/PLA2G2D/CTLA4/RIPOR2/IDO1/TNFAIP8L2",33
"GO:0033574","GO:0033574","response to testosterone","13/1188","43/18860",0.302325581395349,4.79954584605747,6.46718707149383,1.42346292170534e-06,0.000846485950774106,0.000730211505801123,"HOXA10/EPO/HOXA11/AARD/EDN1/NCF1/HOXA13/GNRH1/TSPO/SRD5A1/TBXA2R/HOXA9/HOXD13",13
"GO:0070555","GO:0070555","response to interleukin-1","23/1188","123/18860",0.186991869918699,2.9685746352413,5.67909471015693,2.26622783274945e-06,0.00115561040216066,0.000996874208141899,"PRKCA/EPO/CHI3L1/LCN2/HAS2/IL1RL2/CASP1/SIRPA/IL1RAP/EDN1/MIR142/PTGIS/ST18/GBP1/CEBPB/CCL2/CD40/SFRP1/IL1R2/ZBP1/CD38/PLCB1/NLRP3",23
