"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","21/322","226/9399",0.0929203539823009,2.71229318968834,4.90739640754303,3.06053855854533e-05,0.00885740509550824,0.00788210910507486,"6548/112/148327/107/6752/480/778/5733/115/7137/2867/4886/3352/2696/27198/6751/268/1081/816/10451/134",21
"hsa04913","Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","9/322","52/9399",0.173076923076923,5.05201863354037,5.51837834483857,5.82724019441332e-05,0.00885740509550824,0.00788210910507486,"112/107/122970/3292/641371/115/10965/100137049/1081",9
"hsa01040","Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","6/322","27/9399",0.222222222222222,6.48654244306418,5.37698684265167,0.000248273127331897,0.0233304920749718,0.0207615528506501,"54898/122970/641371/10965/60481/51495",6
"hsa00062","Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","6/322","28/9399",0.214285714285714,6.25488021295475,5.24473265980722,0.000306980158881208,0.0233304920749718,0.0207615528506501,"54898/122970/641371/10965/60481/51495",6
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","22/322","300/9399",0.0733333333333333,2.14055900621118,3.78142979227416,0.000625197040797639,0.0260260068442229,0.023160262323287,"9254/2322/2065/1846/2066/786/374/4137/2064/778/784/11221/1850/1847/4254/100137049/7043/27092/9261/8911/2885/5979",22
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","10/322","86/9399",0.116279069767442,3.3941210457894,4.20073240493839,0.000680337283000633,0.0260260068442229,0.023160262323287,"112/148327/5864/6833/107/3767/480/778/115/816",10
"hsa04260","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","10/322","87/9399",0.114942528735632,3.35510816020561,4.15645887997861,0.000745851879369428,0.0260260068442229,0.023160262323287,"9254/6548/125965/786/480/778/784/7137/27092/1345",10
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","14/322","154/9399",0.0909090909090909,2.65358554488989,3.89679947733504,0.000803578676694987,0.0260260068442229,0.023160262323287,"9254/6548/112/148327/107/786/185/480/778/115/784/7137/27092/816",14
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","8/322","59/9399",0.135593220338983,3.95789030424255,4.29248829891244,0.000840409889284479,0.0260260068442229,0.023160262323287,"112/107/57104/5733/115/4886/1081/134",8
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","11/322","105/9399",0.104761904761905,3.05794143744454,3.9939333748752,0.000905436687317268,0.0260260068442229,0.023160262323287,"9254/112/107/786/3675/778/115/784/7137/7043/27092",11
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","13/322","139/9399",0.0935251798561151,2.72994771884356,3.86998581947607,0.000941730510810698,0.0260260068442229,0.023160262323287,"9687/5914/112/148327/3875/107/5241/7031/115/2099/2288/2885/3760",13
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","7/322","48/9399",0.145833333333333,4.25679347826087,4.26045809817206,0.00114052099915788,0.028893198645333,0.0257117453318926,"18/64087/4329/224/3712/587/36",7
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","8/322","63/9399",0.126984126984127,3.70659568175096,4.05964190002906,0.00130382733984151,0.03048950087014,0.0271322774363781,"247/59344/391013/100137049/9536/64600/2678/1571",8
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","8/322","65/9399",0.123076923076923,3.59254658385093,3.9502432278646,0.00160161901185054,0.0347780128287545,0.0309485778981645,"112/148327/107/185/778/115/5087/8911",8
