"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","46/601","371/9399",0.123989218328841,1.93905933955537,4.82333241279292,9.90473668332966e-06,0.00328837257886545,0.00295056892777084,"1131/51083/5737/4986/9568/887/2568/2692/5646/2564/2560/5027/2562/5026/1906/432355/57152/2742/2740/64106/2359/3356/2796/10316/2688/2898/7425/706/7201/2358/1269/5540/84109/6915/1907/114131/2556/2916/79627/133/9934/2892/2565/728/57053/136",46
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","36/601","298/9399",0.120805369127517,1.88926732850171,4.07717064875505,0.000157307864860218,0.0261131055667961,0.023430592502864,"2056/4803/284340/146433/8808/3592/2919/3598/3556/3595/1230/8793/6347/944/2920/7852/6355/958/53833/10344/2688/27242/3606/7850/2826/1896/149233/3570/83729/8200/2921/27189/608/10673/26525/650",36
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","20/601","134/9399",0.149253731343284,2.33416941912733,4.06540340636851,0.000313990695531976,0.0344196088342012,0.0308837961321463,"94274/5578/5321/800/85366/1906/108/2983/5322/3779/5579/4882/72/1907/26279/5332/133/23236/4878/136",20
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","9/601","37/9399",0.243243243243243,3.80406529657778,4.46650314092206,0.000414694082339774,0.0344196088342012,0.0308837961321463,"5578/3592/7412/5579/3606/5332/3620/23236/4878",9
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","13/601","75/9399",0.173333333333333,2.71074875207987,3.88757435584254,0.00084081687530929,0.0351688716519815,0.0315560896560265,"5578/405753/50506/7038/108/5579/53905/483/2882/482/5332/5172/23236",13
"hsa04082","Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","25/601","199/9399",0.125628140703518,1.96469034022024,3.59487283168448,0.000879773122756129,0.0351688716519815,0.0315560896560265,"1131/4986/9568/5578/6530/2568/2564/2560/2562/5026/108/3356/43/5579/2898/6570/2556/5332/2916/79627/9934/23236/2892/2565/136",25
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","28/601","233/9399",0.120171673819742,1.87935700870509,3.55235402685606,0.000898949120627067,0.0351688716519815,0.0315560896560265,"4608/114793/1299/1297/6641/2201/2006/7169/1466/84467/1730/4703/3930/1756/1824/70/64236/72/4607/483/6442/7136/7139/81624/482/3696/7134/6383",28
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","13/601","76/9399",0.171052631578947,2.67508100534197,3.83201980971586,0.000956438315079643,0.0351688716519815,0.0315560896560265,"1131/887/5578/85366/3773/108/5579/483/115111/3759/482/5332/23236",13
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","25/601","201/9399",0.124378109452736,1.9451411826061,3.54006299809735,0.00101769218358885,0.0351688716519815,0.0315560896560265,"3206/597/3207/8900/2119/2120/64919/3248/6688/4208/1051/942/4066/958/4233/4094/8091/30012/7850/3205/5079/1053/2892/440686/862",25
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","10/601","50/9399",0.2,3.12778702163062,3.94269838886507,0.00105930336301149,0.0351688716519815,0.0315560896560265,"3592/6347/958/7412/4233/1378/3606/6383/2995/7097",10
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","7/601","28/9399",0.25,3.90973377703827,4.02997432961138,0.00153198916298859,0.0462382183738375,0.041488318959404,"84002/6489/2651/2526/10402/2525/8708",7
